model,metric,mean,sem
deepseek,correctness,5.0,0.0
deepseek,faithfulness,5.0,0.0
deepseek,helpfulness,5.0,0.0
deepseek,relevance,5.0,0.0
deepseek,truthfulness,5.0,0.0
deepseek,virality,4.3,0.3
deepseek_rag,correctness,4.4,0.42687494916218993
deepseek_rag,faithfulness,3.2,0.48989794855663565
deepseek_rag,helpfulness,5.0,0.0
deepseek_rag,relevance,4.7,0.3
deepseek_rag,truthfulness,4.9,0.10000000000000002
deepseek_rag,virality,4.1,0.27688746209726917
gemini,correctness,5.0,0.0
gemini,faithfulness,5.0,0.0
gemini,helpfulness,5.0,0.0
gemini,relevance,5.0,0.0
gemini,truthfulness,5.0,0.0
gemini,virality,3.8,0.3590109871423003
gemini_rag,correctness,4.3,0.29999999999999993
gemini_rag,faithfulness,3.6,0.3711842908553348
gemini_rag,helpfulness,4.8,0.1333333333333334
gemini_rag,relevance,4.7,0.21343747458109497
gemini_rag,truthfulness,4.6,0.2666666666666667
gemini_rag,virality,3.6,0.22110831935702666
llama,correctness,4.8,0.20000000000000007
llama,faithfulness,4.6,0.39999999999999997
llama,helpfulness,4.8,0.20000000000000007
llama,relevance,4.8,0.20000000000000007
llama,truthfulness,5.0,0.0
llama,virality,3.6,0.37118429085533483
llama_rag,correctness,4.6,0.2666666666666667
llama_rag,faithfulness,3.8,0.2905932629027116
llama_rag,helpfulness,4.6,0.2666666666666667
llama_rag,relevance,4.6,0.2666666666666667
llama_rag,truthfulness,4.6,0.2666666666666667
llama_rag,virality,3.8,0.2905932629027116
mistral,correctness,5.0,0.0
mistral,faithfulness,5.0,0.0
mistral,helpfulness,5.0,0.0
mistral,relevance,5.0,0.0
mistral,truthfulness,5.0,0.0
mistral,virality,3.6,0.4268749491621899
mistral_rag,correctness,3.9,0.5666666666666667
mistral_rag,faithfulness,3.1,0.48189440982669873
mistral_rag,helpfulness,4.9,0.10000000000000002
mistral_rag,relevance,4.8,0.20000000000000007
mistral_rag,truthfulness,4.8,0.20000000000000007
mistral_rag,virality,3.9,0.23333333333333334
